0MIN_area 0MIN_circumference 0MIN_foot 0MIN_head_width 0MIN_length 0MIN_length_area_ratio 0MIN_length_width_ratio 0MIN_max_width 0MIN_max_width_location 0MIN_neck_width 0MIN_width_length_ratio 0MIN_x_m 0MIN_y_m 10_MIN_area 10_MIN_circumference 10_MIN_foot 10_MIN_head_width 10_MIN_length 10_MIN_length_area_ratio 10_MIN_length_width_ratio 10_MIN_max_width 10_MIN_max_width_location 10_MIN_neck_width 10_MIN_width_length_ratio 10_MIN_x_m 10_MIN_y_m 40_MIN_area 40_MIN_circumference 40_MIN_foot 40_MIN_head_width 40_MIN_length 40_MIN_length_area_ratio 40_MIN_length_width_ratio 40_MIN_max_width 40_MIN_max_width_location 40_MIN_neck_width 40_MIN_width_length_ratio 40_MIN_x_m 40_MIN_y_m animal_id group_id nencki_id source0 source10 source40 unique_id
0.3751719155 3.0153259848 0.4432492088 0.5047771786 0.8660225788 2.3083353072 1.7156531943 0.5047771786 0.4166666667 0.4081666326 0.5828683812 104.670454545 84.2386363636 0.3787398481 3.3763448537 0.4075275778 0.465859254 1.1178509229 2.9515006896 2.399546458 0.465859254 0.5 0.2579048404 0.4167454215 98.5595238095 114.202380952 0.75117 3.9601384176 0.8127238153 0.7 1.33 1.7705712422 1.9 0.7981227976 0.7368421053 0.7 0.5263157895 143.945121951 104.987804878 18 f 206 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-206-f
0.4353474541 3.3569022136 0.7057552576 0.4504505631 1.0099485468 2.319867814 2.2420852132 0.6427137523 0.9285714286 0.2252252815 0.4460133781 91.702970297 772.584158416 1.012599936 4.0292066734 0.9171500487 1.0512302737 1.3683387818 1.351312333 1.3016546575 1.0512302737 0.3684210526 0.63 0.7682529266 86.3333333333 798.644444444 1.0999316267 6.238493407 1.4233691465 1.0335376142 1.2737053173 1.1579859024 1.2323744194 1.0335376142 0.2222222222 0.7358200057 0.8114417049 128.053719008 791.694214876 18 f 307 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-307-f
0.6548515901 3.8395175656 0.305122926 0.7473954776 1.3435943009 2.0517538955 1.7977019411 0.7473954776 0.2352941176 0.2886173938 0.5562657397 109.612244898 759.455782313 0.6334784219 4.1122430865 0.2969848481 0.7136200964 1.3241801116 2.0903318341 1.8555813075 0.7136200964 0.2222222222 0.2067594731 0.5389146765 103.951048951 788.762237762 1.2066776991 5.2470926924 0.5073672696 0.9134927884 1.7142392869 1.4206273044 1.8765767051 0.9474207531 0.6363636364 0.685716116 0.5328852252 149.855513308 777.897338403 18 f 306 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-306-f
0.4728493673 4.6248851366 0.9841105941 0.4551436933 1.1830781136 2.5020190265 2.5993507788 0.6894200461 0.9230769231 0.2213594362 0.3847114472 138.839285714 124.133928571 0.6090887061 3.086896272 0.8714929719 0.9652830173 0.8395978926 1.378449287 0.8697945345 0.9652830173 0.3333333333 0.8103085832 1.1496968081 137.594202899 158.724637681 0.8565166694 5.8693381363 1.4849242405 0.877097486 0.91 1.0624428368 1.0375129498 0.877097486 0.4615384615 0.8770165002 0.9638433912 181.476190476 147.095238095 18 f 205 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-205-f
0.539 3.6653176057 0.645368112 0.56 1.0527400608 1.9531355488 1.8798929657 0.56 0.3333333333 0.35 0.5319451789 138.298387097 90.1209677419 0.4385255107 2.8908478761 0.42 0.56 0.91 2.0751358308 1.625 0.56 0.4615384615 0.49 0.6153846154 134.969387755 119.408163265 0.3759333202 3.0718965701 0.7 0.42 0.84 2.2344388082 2 0.4850757621 0.6666666667 0.4159139626 0.5 181.15 115.05 18 f 207 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-207-f
0.6658170775 3.7160513164 1.1207453022 0.8298228688 0.8016897006 1.2040689969 0.9660973815 1.0398750237 0.8888888889 0.8216160884 1.0350923408 135.479452055 753.931506849 0.6090961972 3.3171788479 1.312903554 0.938892387 0.8391224589 1.3776517778 0.8937365671 1.071103074 0.5833333333 0.938892387 1.1188979357 134.051470588 784.433823529 0.83055 4.3473941837 1.8213456564 1.2224974438 0.7138436804 0.85948309 0.5839224319 1.6160754933 0.9 1.2224974438 1.7125562323 180.954545455 776.238636364 18 f 303 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-303-f
0.3577750732 2.8901374543 0.5438174303 0.5980802622 0.7449440704 2.0821575513 1.2455586942 0.5980802622 0.5454545455 0.4408631624 0.802852571 141.411764706 778.470588235 0.866748709 4.5538014356 0.8202533785 0.8264192582 1.3154932973 1.5177332065 1.5917989378 0.8264192582 0.5263157895 0.6260990337 0.6282200448 139.942708333 810.869791667 0.4504860601 3.2640148659 0.7826237921 0.4949747468 0.9297107654 2.0637947491 1.8782993908 0.7208970825 0.9230769231 0.4949747468 0.5323964885 181.40952381 797.552380952 18 f 305 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-305-f
0.3575202256 2.8748488689 0.8179218352 0.5096076923 0.7157158545 2.0018891333 1.4044447629 0.6192722053 0.8 0.4897016879 0.712025155 162.543209877 96.2962962963 0.1708502093 2.3721098375 1.0638126295 0.14 0.4127843726 2.416060093 2.9484598041 0.5072629667 0.8 0.14 0.3391601265 157.102564103 129.358974359 0.3972254531 4.1143356324 0.8918072625 0.3631723219 0.7 1.7622234289 1.9274596595 0.7571657678 0.9 0.2523885893 0.5188176028 197.306818182 116.75 18 f 208 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-208-f
0.2426446882 2.2205884927 0.49 0.4824861306 0.634806609 2.6161982513 1.3156991852 0.5353570152 0.8888888889 0.42 0.7600521542 160.943396226 773.433962264 0.3137770008 2.8917415135 0.9105524737 0.6743101606 0.4996759372 1.5924555842 0.7410179564 0.8252878286 0.8571428571 0.6743101606 1.3494949635 156.492537313 804.850746269 0.148763966 1.6829077639 0.6109649533 0.35 0.4149287132 2.7891748538 1.1855106091 0.5070817711 0.8 0.35 0.8435183897 205.135135135 795.621621622 18 f 304 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-304-f
0.6371276172 6.024291203 2.0672236224 1.0381850311 0.5165747393 0.8107869213 0.4975748289 1.9674662961 0.875 1.0381850311 2.0097479652 219 102.618705036 0.6032242301 2.6219471717 1.5085643179 0.7638992011 0.7047840794 1.1683616875 0.9226139763 0.7638992011 0.5 0.7638992011 1.0838769254 212.537878788 131.098484848 0.9908228789 4.8478277963 1.68 1.8178774103 0.49 0.4945384391 0.2695451284 1.8178774103 0.5714285714 1.7480929936 3.7099538985 255.35483871 124.994623656 18 f 210 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-210-f
